Sample,Group,Pair,Plot,Treatment,Road,Date,Time Collected,Hours,Diptera,Hymenoptera,Hemiptera,Coleoptera,Lepidoptera,Plecoptera,Other,Spiders,Total,Non-Diptera,Formicidae,Pompilidae,Ichneumonidae,Braconidae,Chalcidoidea,Diaprioidea,Tachinidae,Parasitoids,Asilidae,Tipuloidea,Pentatomidae,Reduviidae
1,North,A,ALAN I,Illuminated,On,6/1/2021,11:43,23.93,18,1,1,0,4,0,0,0,24,6,0,0,1,0,0,0,0,1,1,3,0,0
2,North,A,ALAN I,Illuminated,On,6/4/2021,12:32,72.82,27,1,1,2,7,3,0,3,44,17,0,0,1,0,0,0,0,1,0,3,1,0
3,North,A,ALAN I,Illuminated,On,6/7/2021,11:20,69.8,40,10,0,6,11,5,0,2,74,34,2,0,6,0,0,2,0,8,0,9,0,0
4,North,A,ALAN I,Illuminated,On,6/8/2021,11:34,25.23,21,15,1,4,8,2,0,0,51,30,2,0,9,0,0,4,1,14,0,1,0,0
5,North,A,ALAN I,Illuminated,On,6/11/2021,12:50,73.27,32,9,0,1,10,3,1,1,57,25,1,0,5,0,0,3,0,8,0,2,0,0
6,North,A,ALAN I,Illuminated,On,6/14/2021,8:40,67.83,7,8,0,0,10,0,0,0,25,18,3,0,5,0,0,0,0,5,0,2,0,0
7,North,A,ALAN I,Illuminated,On,6/15/2021,12:41,28.02,5,4,0,0,2,0,0,0,11,6,0,0,4,0,0,0,0,4,0,1,0,0
8,North,A,ALAN I,Illuminated,On,6/18/2021,13:12,72.52,13,6,0,4,11,3,1,1,39,26,0,0,5,0,0,1,2,8,0,1,0,0
9,North,A,ALAN I,Illuminated,On,6/21/2021,16:16,75.07,13,9,0,1,15,1,0,2,41,28,2,0,5,0,0,2,2,9,0,1,0,0
10,North,A,ALAN I,Illuminated,On,6/25/2021,12:46,92.5,7,4,0,5,17,0,1,1,35,28,0,1,3,0,0,0,0,3,0,0,0,0
11,North,A,ALAN I,Illuminated,On,6/28/2021,12:39,71.82,16,3,1,1,8,0,2,0,31,15,1,0,3,0,0,0,0,3,0,1,0,0
12,North,A,ALAN I,Illuminated,On,6/29/2021,11:20,22.68,7,5,2,0,5,0,0,1,20,13,0,0,5,0,0,0,0,5,0,0,0,0
13,North,A,ALAN I,Illuminated,On,7/2/2021,11:41,72.35,8,5,0,0,44,0,0,2,59,51,0,2,3,0,0,0,0,3,0,0,0,0
14,North,A,ALAN I,Illuminated,On,7/5/2021,11:39,71.97,13,0,0,0,2,0,0,1,16,3,0,0,0,0,0,0,0,0,0,1,0,0
15,North,A,ALAN I,Illuminated,On,7/10/2021,8:45,93.1,5,0,0,0,4,0,0,2,11,6,0,0,0,0,0,0,0,0,0,0,0,0
16,North,A,ALAN I,Illuminated,On,7/13/2021,7:00,70.25,13,1,0,2,9,0,0,2,27,14,0,0,1,0,0,0,0,1,0,0,0,0
17,North,A,ALAN I,Illuminated,On,7/16/2021,15:51,80.85,13,1,0,0,11,0,0,2,27,14,0,0,1,0,0,0,0,1,0,0,0,0
18,North,A,ALAN I,Illuminated,On,7/20/2021,12:15,92.4,14,10,1,1,18,0,0,5,49,35,0,1,6,1,0,2,0,9,0,1,0,0
19,North,A,ALAN I,Illuminated,On,7/23/2021,11:50,71.58,25,8,1,2,10,0,0,1,47,22,0,0,4,1,2,1,0,8,0,0,0,0
20,North,A,ALAN I,Illuminated,On,7/27/2021,12:47,96.95,18,7,1,0,14,0,1,2,43,25,0,2,5,0,0,0,0,5,0,0,0,0
21,North,A,ALAN I,Illuminated,On,7/30/2021,9:05,68.3,4,0,0,0,2,0,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0
1,North,B,ALAN III,Illuminated,Off,6/1/2021,11:55,24,13,7,1,0,4,0,1,0,26,13,0,0,3,1,1,2,0,7,0,3,0,0
2,North,B,ALAN III,Illuminated,Off,6/4/2021,12:21,72.43,26,3,3,2,3,0,1,2,40,14,1,0,2,0,0,0,0,2,0,6,0,0
3,North,B,ALAN III,Illuminated,Off,6/7/2021,11:00,70.65,25,16,1,9,7,1,2,2,63,38,0,0,14,1,0,1,0,16,0,5,0,0
4,North,B,ALAN III,Illuminated,Off,6/8/2021,11:50,24.83,16,14,1,2,8,1,0,1,43,27,2,0,9,0,0,3,1,13,0,0,0,0
5,North,B,ALAN III,Illuminated,Off,6/11/2021,12:59,73.15,14,30,2,1,16,2,1,1,67,53,0,0,25,2,0,4,0,30,0,4,0,0
6,North,B,ALAN III,Illuminated,Off,6/14/2021,8:52,67.88,3,14,0,0,2,1,0,6,26,23,1,0,13,0,0,0,1,14,0,0,0,0
