Sample,Group,Pair,Plot,Treatment,Road,Date,Hours,Hymenoptera,Coleoptera,Diptera,Total,Pompilidae,Ichneumonidae,Braconidae,Diaprioidea,Chalcidoidea,OtherParasitoids,Staphylinidae,Carabidae,Asilidae,Tachinidae,Formicidae,study.day,Total.Daily,log.Total
1,North,A,ALAN I,Illuminated,Yes,6/8/2021,25.07,4,1,0,5,0,2,1,1,0,0,1,0,0,0,0,8,4.7856,1.567698831
2,North,A,ALAN I,Illuminated,Yes,6/21/2021,147.58,6,3,0,9,0,0,0,4,1,1,3,0,0,0,0,21,1.464,0.387979794
4,North,A,ALAN I,Illuminated,Yes,7/10/2021,123.35,69,6,2,77,2,24,2,34,5,1,6,0,0,2,1,40,14.9808,2.70743668
5,North,A,ALAN I,Illuminated,Yes,7/16/2021,144.85,17,0,0,17,0,6,2,5,2,0,0,0,0,0,2,46,2.8176,1.039428295
6,North,A,ALAN I,Illuminated,Yes,7/20/2021,92.4,26,0,0,26,0,15,0,7,2,2,0,0,0,0,0,50,6.7536,1.911555293
7,North,A,ALAN I,Illuminated,Yes,7/23/2021,71.58,15,0,0,15,0,4,1,5,3,2,0,0,0,0,0,53,5.0304,1.617485444
8,North,A,ALAN I,Illuminated,Yes,7/27/2021,96.95,3,0,0,3,0,1,0,1,0,1,0,0,0,0,0,57,0.7416,-0.285551011
1,North,B,ALAN III,Illuminated,No,6/8/2021,24.83,5,5,0,10,0,2,1,2,0,0,5,0,0,0,0,8,9.6648,2.269524567
2,North,B,ALAN III,Illuminated,No,6/21/2021,147.7,2,1,1,4,0,0,0,0,2,0,0,1,1,0,0,21,0.6504,-0.414909567
4,North,B,ALAN III,Illuminated,No,7/10/2021,123.63,16,2,1,19,0,6,0,7,3,0,2,0,0,1,0,40,3.6888,1.308008443
5,North,B,ALAN III,Illuminated,No,7/16/2021,144.73,23,0,0,23,0,4,0,16,3,0,0,0,0,0,0,46,3.8136,1.341192387
6,North,B,ALAN III,Illuminated,No,7/20/2021,92.38,9,0,0,9,0,8,0,1,0,0,0,0,0,0,0,50,2.3376,0.85339353
7,North,B,ALAN III,Illuminated,No,7/23/2021,73.43,27,0,0,27,3,16,0,4,1,3,0,0,0,0,0,53,8.8248,2.178698468
8,North,B,ALAN III,Illuminated,No,7/27/2021,95.28,7,0,0,7,1,3,0,3,0,0,0,0,0,0,0,57,1.764,0.573236884
1,South,C,ALAN VI,Illuminated,No,6/8/2021,24.93,5,51,0,56,0,2,1,2,0,0,51,0,0,0,0,8,53.9112,3.987523722
2,South,C,ALAN VI,Illuminated,No,6/21/2021,147.58,29,17,1,47,2,9,0,15,1,1,17,0,1,0,1,21,7.644,2.035228387
4,South,C,ALAN VI,Illuminated,No,7/10/2021,121.78,57,15,0,72,5,21,0,28,1,1,15,0,0,0,1,40,14.1888,2.653157454
5,South,C,ALAN VI,Illuminated,No,7/16/2021,145.3,42,10,0,52,3,4,2,21,3,1,10,0,0,0,8,46,8.5896,2.151715691
6,South,C,ALAN VI,Illuminated,No,7/20/2021,92.6,18,0,0,18,0,10,1,5,1,1,0,0,0,0,0,50,4.6656,1.542357497
7,South,C,ALAN VI,Illuminated,No,7/23/2021,71.55,27,1,1,29,10,3,0,11,2,0,1,0,1,0,1,53,9.7272,2.275953602
8,South,C,ALAN VI,Illuminated,No,7/27/2021,96.98,14,0,0,14,5,4,0,3,0,1,0,0,0,0,1,57,3.4656,1.245767126
1,South,D,ALAN VIII,Illuminated,Yes,6/8/2021,24.68,4,19,1,24,0,3,0,0,1,0,19,0,0,1,0,8,23.3376,3.150494195
2,South,D,ALAN VIII,Illuminated,Yes,6/21/2021,147.58,46,42,0,88,0,22,0,22,0,1,42,0,0,0,1,21,14.3112,2.661740957
4,South,D,ALAN VIII,Illuminated,Yes,7/10/2021,122.13,45,5,1,51,0,24,2,15,2,2,4,1,0,1,0,40,10.0224,2.305819856
5,South,D,ALAN VIII,Illuminated,Yes,7/16/2021,145.07,20,0,0,20,0,1,1,10,6,2,0,0,0,0,0,46,3.3096,1.199844294
