"","study.day","daily.avg","daily.max","daily.min","daily.90","daily.range","mean.4day.temp","mean.4day.max","mean.4day.min","mean.4day.temp.lag","Precip","mean.4day.rain","mean.4day.rain.lag"
"1",0,11.2532666666667,13.288,8.4212,12.69992,4.8668,NA,NA,NA,NA,5.3,NA,NA
"2",1,13.3144291666667,21.475,7.119,18.985,14.356,NA,NA,NA,NA,0,NA,NA
"3",2,17.21830625,24.7598,9.7674,23.36032,14.9924,NA,NA,NA,NA,0,NA,NA
"4",3,16.87595625,21.6078,13.2882,19.90252,8.3196,14.6654895833333,20.28265,9.64895,NA,13.1,4.6,NA
"5",4,18.3182354166667,23.47,15.6832,21.81396,7.7868,16.4317317708333,22.82815,11.46445,14.6654895833333,8,5.275,4.6
"6",5,19.3912375,27.3358,14.0954,25.87218,13.2404,17.9509338541667,24.29335,13.20855,16.4317317708333,2.2,5.825,5.275
"7",6,22.9868729166667,30.5076,17.4554,29.13188,13.0522,19.3930755208333,25.7303,15.13055,17.9509338541667,0,5.825,5.825
"8",7,24.2341291666667,30.4846,18.7492,29.39276,11.7354,21.23261875,27.9495,16.4958,19.3930755208333,0,2.55,5.825
"9",8,23.1670875,27.9862,19.891,26.53358,8.0952,22.4448317708333,29.07855,17.54775,21.23261875,4.1,1.575,2.55
"10",9,21.0235458333333,26.6078,16.1986,25.81268,10.4092,22.8529088541667,28.89655,18.07355,22.4448317708333,0.6,1.175,1.575
"11",10,17.6374708333333,23.198,13.211,22.18292,9.987,21.5155583333333,27.06915,17.01245,22.8529088541667,0,1.175,1.175
"12",11,12.0320963541667,13.413,9.66925,13.04,3.74375,18.4650501302083,22.80125,14.7424625,21.5155583333333,0,1.175,1.175
"13",12,16.2065546875,23.38975,8.531,22.1089,14.85875,16.7249169270833,21.6521375,11.9024625,18.4650501302083,0,0.15,1.175
"14",13,18.3690875,26.3146,10.7674,25.14572,15.5472,16.06130234375,21.5788375,10.5446625,16.7249169270833,0,-1.94289029309402e-16,0.15
"15",14,14.51253125,16.008,13.3648,15.3299,2.6432,15.2800674479167,19.7813375,10.5831125,16.06130234375,9.9,2.475,-1.94289029309402e-16
"16",15,15.6799020833333,20.2528,13.365,17.85316,6.8878,16.1920188802083,21.4912875,11.50705,15.2800674479167,11.6,5.375,2.475
"17",16,13.3981604166667,17.6458,10.5136,16.6712,7.1322,15.4899203125,20.0553,12.0027,16.1920188802083,0,5.375,5.375
"18",17,15.1375416666667,21.8978,9.1746,20.75056,12.7232,14.6820338541667,18.9511,11.6045,15.4899203125,0,5.375,5.375
"19",18,17.1199145833333,24.9746,8.8978,23.51658,16.0768,15.3338796875,21.19275,10.48775,14.6820338541667,0,2.9,5.375
